journey_id,train_no,train_name,source_station,destination_station,zone,distance_km,journey_date,year,month,season,scheduled_arrival,actual_arrival,delay_mins,delay_category,delay_reason,platform_no,passengers_count,train_type
JRN1017,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2023-01-17,2023,January,Winter,15:15,15:36,21,Minor Delay,Track inspection,6,915,Superfast
JRN1018,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-08-22,2024,August,Monsoon,20:45,22:12,87,Major Delay,Track waterlogging,5,565,Express
JRN1019,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2024-01-22,2024,January,Winter,23:00,23:09,9,Minor Delay,Late running due to fog,7,675,Express
JRN1020,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2023-05-16,2023,May,Summer,11:30,12:19,49,Moderate Delay,Track maintenance,2,585,Superfast
JRN1021,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2023-08-14,2023,August,Monsoon,04:30,06:08,98,Major Delay,Heavy rainfall on track,7,706,Express
JRN1022,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2022-03-01,2022,March,Summer,19:15,19:44,29,Minor Delay,Engine technical issue,4,604,Express
JRN1023,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2024-02-13,2024,February,Winter,14:15,14:36,21,Minor Delay,Technical snag,2,585,Superfast
JRN1024,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2023-05-24,2023,May,Summer,12:15,12:15,0,On Time,No Delay,5,755,Superfast
JRN1025,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-09-09,2022,September,Monsoon,22:45,23:14,29,Minor Delay,Flood affected route,7,708,Superfast
JRN1026,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2023-09-19,2023,September,Monsoon,19:00,20:51,111,Major Delay,Track waterlogging,5,840,Superfast
JRN1027,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2023-11-09,2023,November,Winter,14:00,14:32,32,Moderate Delay,Technical snag,5,641,Superfast
JRN1028,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2024-11-20,2024,November,Winter,05:30,06:30,60,Moderate Delay,Technical snag,4,877,Superfast
JRN1029,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2022-09-07,2022,September,Monsoon,05:00,05:00,0,On Time,No Delay,8,620,Express
JRN1030,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2023-05-03,2023,May,Summer,16:45,17:11,26,Minor Delay,Engine technical issue,5,651,Express
JRN1031,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-06-07,2024,June,Monsoon,04:30,04:30,0,On Time,No Delay,4,651,Superfast
JRN1032,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-10-28,2023,October,Winter,06:30,07:07,37,Moderate Delay,Dense fog signal restriction,8,830,Superfast
JRN1033,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2022-09-06,2022,September,Monsoon,05:30,06:38,68,Major Delay,Flood affected route,6,774,Superfast
JRN1034,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2022-08-05,2022,August,Monsoon,15:45,17:51,126,Severe Delay,Heavy rainfall on track,3,670,Superfast
JRN1035,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2023-11-17,2023,November,Winter,11:00,12:03,63,Major Delay,Cold wave speed restriction,3,830,Superfast
JRN1036,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2022-11-19,2022,November,Winter,09:30,09:30,0,On Time,No Delay,3,868,Superfast
JRN1037,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2023-09-05,2023,September,Monsoon,05:15,07:21,126,Severe Delay,Signal failure due to rain,2,877,Superfast
JRN1038,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2022-06-07,2022,June,Monsoon,07:30,07:58,28,Minor Delay,Signal failure due to rain,2,575,Superfast
JRN1039,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2022-12-25,2022,December,Winter,05:30,06:16,46,Moderate Delay,Cold wave speed restriction,2,761,Express
JRN1040,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-01-23,2024,January,Winter,06:15,06:33,18,Minor Delay,Dense fog signal restriction,7,698,Superfast
JRN1041,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2022-07-28,2022,July,Monsoon,09:45,10:23,38,Moderate Delay,Flood affected route,8,620,Express
JRN1042,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2022-11-06,2022,November,Winter,04:30,04:49,19,Minor Delay,Dense fog signal restriction,7,868,Superfast
JRN1043,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2024-07-16,2024,July,Monsoon,08:30,08:30,0,On Time,No Delay,2,679,Superfast
JRN1044,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2023-12-24,2023,December,Winter,20:30,20:30,0,On Time,No Delay,4,525,Express
JRN1045,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2024-05-01,2024,May,Summer,09:30,09:38,8,Minor Delay,Congestion at junction,4,679,Superfast
JRN1046,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2024-06-10,2024,June,Monsoon,17:30,19:27,117,Major Delay,Track waterlogging,6,792,Superfast
JRN1047,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2024-12-20,2024,December,Winter,17:00,17:00,0,On Time,No Delay,5,628,Express
JRN1048,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2023-07-03,2023,July,Monsoon,11:30,13:13,103,Major Delay,Heavy rainfall on track,1,736,Superfast
JRN1049,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2024-08-04,2024,August,Monsoon,07:45,09:54,129,Severe Delay,Heavy rainfall on track,4,698,Superfast
JRN1050,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2022-12-12,2022,December,Winter,17:45,18:12,27,Minor Delay,Track inspection,1,659,Express
JRN1051,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2023-01-02,2023,January,Winter,16:30,16:54,24,Minor Delay,Track inspection,1,525,Express
JRN1052,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2024-12-03,2024,December,Winter,19:30,19:30,0,On Time,No Delay,1,859,Superfast
JRN1053,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2024-01-05,2024,January,Winter,09:45,11:08,83,Major Delay,Technical snag,1,887,Superfast
JRN1054,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2022-03-02,2022,March,Summer,11:45,13:01,76,Major Delay,Congestion at junction,7,596,Express
JRN1055,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2024-04-17,2024,April,Summer,20:00,21:19,79,Major Delay,Congestion at junction,7,783,Superfast
JRN1056,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2024-07-24,2024,July,Monsoon,10:15,10:15,0,On Time,No Delay,4,628,Express
JRN1057,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-07-22,2024,July,Monsoon,12:30,15:37,187,Severe Delay,Flood affected route,2,580,Express
JRN1058,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2023-07-05,2023,July,Monsoon,13:15,14:28,73,Major Delay,Signal failure due to rain,3,594,Superfast
JRN1059,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-02-06,2022,February,Winter,18:45,19:20,35,Moderate Delay,Technical snag,4,717,Superfast
JRN1060,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2023-07-06,2023,July,Monsoon,07:15,08:01,46,Moderate Delay,Flood affected route,6,651,Superfast
JRN1061,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-05-21,2024,May,Summer,23:00,23:26,26,Minor Delay,Track maintenance,2,745,Superfast
JRN1062,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2022-10-08,2022,October,Winter,14:15,14:21,6,Minor Delay,Cold wave speed restriction,6,785,Express
JRN1063,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2024-06-16,2024,June,Monsoon,22:45,01:16,151,Severe Delay,Flood affected route,4,594,Superfast
JRN1064,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2022-08-23,2022,August,Monsoon,23:30,00:30,60,Moderate Delay,Flood affected route,3,785,Express
JRN1065,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-09-14,2024,September,Monsoon,20:00,22:11,131,Severe Delay,Heavy rainfall on track,8,717,Superfast
JRN1066,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2023-01-17,2023,January,Winter,20:15,20:15,0,On Time,No Delay,6,925,Superfast
JRN1067,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-02-17,2023,February,Winter,21:45,22:02,17,Minor Delay,Technical snag,4,811,Superfast
JRN1068,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2022-02-23,2022,February,Winter,11:15,11:15,0,On Time,No Delay,5,660,Superfast
JRN1069,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-09-27,2023,September,Monsoon,15:30,18:42,192,Severe Delay,Flood affected route,6,612,Express
JRN1070,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2024-11-22,2024,November,Winter,19:30,20:07,37,Moderate Delay,Cold wave speed restriction,4,934,Superfast
JRN1071,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2022-02-24,2022,February,Winter,07:30,07:57,27,Minor Delay,Track inspection,3,821,Superfast
JRN1072,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2024-11-09,2024,November,Winter,05:30,05:49,19,Minor Delay,Cold wave speed restriction,1,811,Superfast
JRN1073,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-12-03,2024,December,Winter,19:00,19:33,33,Moderate Delay,Late running due to fog,7,877,Superfast
JRN1074,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-06-01,2022,June,Monsoon,09:30,12:25,175,Severe Delay,Flood affected route,5,906,Superfast
JRN1075,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2023-09-02,2023,September,Monsoon,19:30,21:17,107,Major Delay,Signal failure due to rain,5,877,Superfast
JRN1076,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-09-13,2022,September,Monsoon,04:45,06:59,134,Severe Delay,Landslide near track,8,877,Superfast
JRN1077,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-05-02,2023,May,Summer,11:15,11:40,25,Minor Delay,Engine technical issue,3,906,Superfast
JRN1078,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2022-12-09,2022,December,Winter,16:15,16:58,43,Moderate Delay,Late running due to fog,2,486,Express
JRN1079,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2023-05-12,2023,May,Summer,06:30,07:12,42,Moderate Delay,Late running connecting train,8,785,Express
JRN1080,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2024-05-25,2024,May,Summer,17:00,17:00,0,On Time,No Delay,4,726,Superfast
JRN1081,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2023-11-24,2023,November,Winter,13:30,13:34,4,Minor Delay,Technical snag,2,896,Superfast
JRN1082,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2022-10-07,2022,October,Winter,12:45,12:45,0,On Time,No Delay,3,811,Superfast
JRN1083,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-07-02,2022,July,Monsoon,05:15,07:24,129,Severe Delay,Landslide near track,2,612,Express
JRN1084,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-10-25,2022,October,Winter,09:00,10:10,70,Major Delay,Dense fog signal restriction,5,915,Superfast
JRN1085,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2024-01-18,2024,January,Winter,15:15,16:00,45,Moderate Delay,Dense fog signal restriction,6,632,Superfast
JRN1086,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-07-27,2022,July,Monsoon,16:15,16:15,0,On Time,No Delay,6,635,Express
JRN1087,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2024-06-02,2024,June,Monsoon,21:15,23:31,136,Severe Delay,Flood affected route,3,708,Superfast
JRN1088,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2023-04-11,2023,April,Summer,05:15,05:15,0,On Time,No Delay,7,944,Superfast
JRN1089,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2024-03-23,2024,March,Summer,16:45,16:45,0,On Time,No Delay,3,698,Express
JRN1090,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-03-06,2022,March,Summer,16:30,17:33,63,Major Delay,Late running connecting train,6,906,Superfast
JRN1091,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2024-05-22,2024,May,Summer,16:15,17:32,77,Major Delay,Signal failure,1,641,Superfast
JRN1092,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2023-01-27,2023,January,Winter,12:30,12:30,0,On Time,No Delay,2,651,Superfast
JRN1093,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2024-09-19,2024,September,Monsoon,19:15,21:59,164,Severe Delay,Signal failure due to rain,7,651,Express
JRN1094,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-09-11,2022,September,Monsoon,04:15,04:49,34,Moderate Delay,Track waterlogging,5,717,Superfast
JRN1095,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2024-08-15,2024,August,Monsoon,10:00,11:20,80,Major Delay,Flood affected route,5,732,Mail
JRN1096,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-10-23,2023,October,Winter,18:15,19:11,56,Moderate Delay,Late running due to fog,7,533,Express
JRN1097,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-04-06,2022,April,Summer,16:30,16:30,0,On Time,No Delay,4,722,Mail
JRN1098,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2022-02-26,2022,February,Winter,05:15,05:47,32,Moderate Delay,Track inspection,8,651,Express
JRN1099,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2022-03-05,2022,March,Summer,19:30,21:10,100,Major Delay,Signal failure,2,830,Superfast
JRN1100,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2023-11-01,2023,November,Winter,13:45,14:12,27,Minor Delay,Track inspection,4,755,Superfast
JRN1101,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-02-28,2023,February,Winter,23:30,00:53,83,Major Delay,Late running due to fog,4,667,Express
JRN1102,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-11-07,2022,November,Winter,15:30,16:23,53,Moderate Delay,Cold wave speed restriction,6,855,Mail
JRN1103,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-03-01,2024,March,Summer,15:00,15:00,0,On Time,No Delay,6,783,Superfast
JRN1104,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2022-11-13,2022,November,Winter,11:45,11:45,0,On Time,No Delay,6,632,Superfast
JRN1105,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-01-25,2022,January,Winter,20:30,20:30,0,On Time,No Delay,3,726,Superfast
JRN1106,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2024-08-14,2024,August,Monsoon,10:15,12:47,152,Severe Delay,Flood affected route,3,777,Express
JRN1107,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-02-03,2022,February,Winter,23:30,23:49,19,Minor Delay,Late running due to fog,7,478,Express
JRN1108,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2023-04-05,2023,April,Summer,05:15,06:21,66,Major Delay,Engine technical issue,4,682,Express
JRN1109,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2023-12-17,2023,December,Winter,10:30,11:06,36,Moderate Delay,Cold wave speed restriction,4,706,Express
JRN1110,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2022-02-19,2022,February,Winter,05:30,05:30,0,On Time,No Delay,1,821,Superfast
JRN1111,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-08-04,2024,August,Monsoon,22:30,00:14,104,Major Delay,Flood affected route,5,670,Superfast
JRN1112,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2022-07-09,2022,July,Monsoon,06:45,08:15,90,Major Delay,Landslide near track,1,518,Express
JRN1113,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2023-05-21,2023,May,Summer,09:15,09:47,32,Moderate Delay,Late running connecting train,2,859,Superfast
JRN1114,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2023-10-08,2023,October,Winter,23:15,23:15,0,On Time,No Delay,2,575,Superfast
JRN1115,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2023-11-12,2023,November,Winter,04:00,04:51,51,Moderate Delay,Dense fog signal restriction,2,510,Express
JRN1116,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2023-12-18,2023,December,Winter,08:30,09:04,34,Moderate Delay,Technical snag,4,698,Superfast
JRN1117,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2023-04-23,2023,April,Summer,11:00,11:11,11,Minor Delay,Track maintenance,8,830,Superfast
JRN1118,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2022-04-20,2022,April,Summer,18:30,18:30,0,On Time,No Delay,2,887,Superfast
JRN1119,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-12-12,2022,December,Winter,06:45,06:45,0,On Time,No Delay,4,566,Superfast
JRN1120,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2024-05-01,2024,May,Summer,10:30,11:01,31,Moderate Delay,Engine technical issue,7,774,Superfast
JRN1121,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2024-05-22,2024,May,Summer,15:30,15:30,0,On Time,No Delay,8,641,Superfast
JRN1122,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2022-07-21,2022,July,Monsoon,05:45,05:45,0,On Time,No Delay,1,502,Express
JRN1123,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2023-12-03,2023,December,Winter,09:15,09:21,6,Minor Delay,Track inspection,3,596,Express
JRN1124,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2023-08-21,2023,August,Monsoon,10:45,11:23,38,Moderate Delay,Flood affected route,5,925,Superfast
JRN1125,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-07-10,2024,July,Monsoon,22:00,23:18,78,Major Delay,Signal failure due to rain,2,628,Express
JRN1126,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-11-02,2023,November,Winter,09:15,09:41,26,Minor Delay,Technical snag,7,679,Superfast
JRN1127,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2023-03-01,2023,March,Summer,19:30,20:17,47,Moderate Delay,Late running connecting train,6,675,Express
JRN1128,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2023-05-22,2023,May,Summer,16:45,17:51,66,Major Delay,Congestion at junction,7,859,Superfast
JRN1129,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2023-05-14,2023,May,Summer,06:30,06:36,6,Minor Delay,Track maintenance,8,769,Express
JRN1130,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2022-07-14,2022,July,Monsoon,17:30,19:09,99,Major Delay,Flood affected route,3,708,Superfast
JRN1131,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2024-10-01,2024,October,Winter,09:30,10:54,84,Major Delay,Dense fog signal restriction,5,730,Express
JRN1132,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2023-09-25,2023,September,Monsoon,18:00,19:34,94,Major Delay,Signal failure due to rain,1,679,Superfast
JRN1133,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2024-08-01,2024,August,Monsoon,10:00,11:27,87,Major Delay,Flood affected route,4,821,Superfast
JRN1134,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2022-04-20,2022,April,Summer,14:45,15:50,65,Major Delay,Signal failure,5,679,Superfast
JRN1135,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-08-28,2024,August,Monsoon,21:15,23:39,144,Severe Delay,Landslide near track,3,840,Superfast
JRN1136,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2023-10-28,2023,October,Winter,15:00,15:59,59,Moderate Delay,Late running due to fog,3,753,Express
JRN1137,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2024-02-14,2024,February,Winter,20:45,21:36,51,Moderate Delay,Track inspection,2,502,Express
JRN1138,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2023-04-17,2023,April,Summer,07:45,08:32,47,Moderate Delay,Signal failure,6,565,Express
JRN1139,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2023-03-12,2023,March,Summer,22:30,22:43,13,Minor Delay,Congestion at junction,2,745,Superfast
JRN1140,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2022-07-01,2022,July,Monsoon,18:30,18:30,0,On Time,No Delay,1,708,Superfast
JRN1141,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-08-16,2022,August,Monsoon,06:30,09:09,159,Severe Delay,Track waterlogging,3,533,Express
JRN1142,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2024-10-11,2024,October,Winter,15:00,15:00,0,On Time,No Delay,1,684,Mail
JRN1143,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2022-04-21,2022,April,Summer,16:15,16:15,0,On Time,No Delay,3,675,Mail
JRN1144,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2024-06-13,2024,June,Monsoon,08:15,09:49,94,Major Delay,Heavy rainfall on track,3,717,Superfast
JRN1145,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-02-27,2024,February,Winter,16:30,16:40,10,Minor Delay,Technical snag,6,659,Express
JRN1146,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2024-06-26,2024,June,Monsoon,18:30,19:42,72,Major Delay,Track waterlogging,7,714,Express
JRN1147,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2023-10-23,2023,October,Winter,22:15,23:23,68,Major Delay,Dense fog signal restriction,1,859,Superfast
JRN1148,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2023-11-12,2023,November,Winter,23:15,23:15,0,On Time,No Delay,7,502,Express
JRN1149,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2024-06-22,2024,June,Monsoon,11:00,14:08,188,Severe Delay,Heavy rainfall on track,8,643,Express
JRN1150,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2022-02-06,2022,February,Winter,12:15,12:15,0,On Time,No Delay,2,840,Superfast
JRN1151,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2023-05-26,2023,May,Summer,14:30,16:05,95,Major Delay,Late running connecting train,1,670,Superfast
JRN1152,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2024-05-16,2024,May,Summer,08:15,08:29,14,Minor Delay,Congestion at junction,8,604,Express
JRN1153,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-07-16,2022,July,Monsoon,05:45,06:05,20,Minor Delay,Signal failure due to rain,7,944,Superfast
JRN1154,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2023-09-27,2023,September,Monsoon,10:15,10:47,32,Moderate Delay,Signal failure due to rain,2,877,Superfast
JRN1155,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2023-05-23,2023,May,Summer,08:15,08:15,0,On Time,No Delay,3,802,Superfast
JRN1156,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-05-06,2022,May,Summer,11:45,11:53,8,Minor Delay,Engine technical issue,2,785,Express
JRN1157,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-08-17,2022,August,Monsoon,14:45,16:38,113,Major Delay,Heavy rainfall on track,1,478,Express
JRN1158,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2022-08-11,2022,August,Monsoon,20:00,20:00,0,On Time,No Delay,3,641,Superfast
JRN1159,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2022-07-01,2022,July,Monsoon,09:15,10:52,97,Major Delay,Track waterlogging,4,783,Superfast
